B_COUNTRY_ALPHA,Mean_Q71,Mean_Q69,Mean_Q3,Mean_Q37,Mean_Q39,Mean_Q58,Mean_Q239,Mean_Q176,Mean_Q46,Mean_Q164,Mean_Q170,Mean_Q62,Mean_Q63,Mean_Q110,Mean_Q66,Mean_Q41,Mean_Q112,Mean_Q49,Mean_Q29,Mean_Q108,Mean_Q158,Mean_Q48,Mean_Q236,Mean_Q169,Mean_Q131,Mean_Q59,Mean_Q172,Mean_Q1,Mean_Q161,Mean_Q40,Mean_Q31,Mean_Q253,Mean_incomeWB,Mean_regionWB,Mean_Q33,Mean_Q6,Mean_Q235,Mean_Q171,Mean_GDPpercap1,Mean_Q159,Mean_Q61,Mean_Q130,Mean_Q254,Mean_Q121,Mean_Q60,Mean_Q34,Mean_Q4,Mean_Q2,Mean_Q50,Mean_Q240,Mean_Q109,Mean_Q47,Mean_Q5,Mean_Q252
COL,1.8828947368421052,2.167105263157895,1.5921052631578947,3.025657894736842,3.8467105263157895,3.5460526315789473,2.2611842105263156,5.925657894736842,3.4539473684210527,9.313157894736841,2.392763157894737,2.0875,1.9210526315789473,4.8822368421052635,2.017763157894737,3.3526315789473684,9.47828947368421,8.1875,2.1894736842105265,5.575,6.4625,8.121052631578948,3.1032894736842107,2.5763157894736843,2.9,2.3526315789473684,6.746710526315789,1.2052631578947368,6.400657894736842,3.8361842105263158,2.0967105263157895,2.1598684210526318,3.0,5.0,2.3342105263157893,1.667763157894737,2.7394736842105263,4.384868421052632,15643.729999999998,7.235526315789474,1.6993421052631579,2.7157894736842105,4.686842105263158,2.442105263157895,2.543421052631579,3.5625,2.7828947368421053,1.9703947368421053,6.615131578947368,6.0756578947368425,4.601315789473684,3.961842105263158,1.3177631578947369,3.806578947368421
CYP,2.3323262839879155,2.716012084592145,1.8157099697885197,3.483383685800604,4.093655589123867,3.909365558912387,1.7280966767371602,5.634441087613293,3.132930513595166,7.712990936555891,2.7492447129909365,2.1842900302114803,2.187311178247734,5.335347432024169,2.2205438066465257,3.6253776435045317,8.045317220543806,6.842900302114804,2.29607250755287,4.803625377643504,7.268882175226586,7.0,2.604229607250755,2.510574018126888,2.8519637462235647,3.0604229607250755,5.854984894259819,1.0574018126888218,6.1057401812688825,3.97583081570997,2.2235649546827796,2.800604229607251,4.0,6.0,3.202416918429003,1.8549848942598188,2.404833836858006,4.5105740181268885,41254.4,7.187311178247734,1.8066465256797584,2.6525679758308156,4.287009063444109,2.673716012084592,3.105740181268882,3.8338368580060425,2.619335347432024,1.5166163141993958,6.190332326283988,5.755287009063444,3.6586102719033233,4.244712990936556,1.5589123867069485,5.287009063444109
CZE,2.1753325272067716,2.7896009673518742,1.7097944377267231,2.7859733978234584,3.75453446191052,3.5840386940749696,1.773881499395405,5.639661426844015,2.962515114873035,4.504232164449818,2.088270858524788,2.4147521160822247,2.347037484885127,5.385731559854897,2.336154776299879,3.083434099153567,6.97944377267231,7.065296251511487,2.4389359129383315,5.357920193470375,6.9008464328899635,7.079806529625151,2.709794437726723,1.9189842805320436,2.7557436517533254,2.8742442563482467,2.5187424425634823,1.2853688029020556,5.363966142684402,3.311970979443773,2.392986698911729,2.6239419588875452,4.0,6.0,2.742442563482467,3.1305925030229744,1.8270858524788391,2.3373639661426844,42575.61,7.025392986698912,2.2684401451027814,2.5671100362756953,3.9758162031438937,3.18863361547763,3.1076178960096734,3.8972188633615477,2.995163240628779,1.5912938331318016,6.428053204353083,6.081015719467956,3.8548972188633615,3.7920193470374848,1.9613059250302298,5.760580411124547
ECU,2.115990990990991,2.6024774774774775,1.6846846846846846,3.27027027027027,4.018018018018018,3.4673423423423424,2.2364864864864864,5.61936936936937,3.519144144144144,9.236486486486486,2.5304054054054053,1.875,1.757882882882883,3.9313063063063063,2.2094594594594597,3.8018018018018016,8.858108108108109,7.752252252252252,2.126126126126126,5.091216216216216,5.923423423423423,7.585585585585585,2.9763513513513513,2.6644144144144146,2.9245495495495497,2.265765765765766,6.398648648648648,1.1227477477477477,6.347972972972973,4.15990990990991,2.0394144144144146,2.501126126126126,3.0,5.0,2.7995495495495497,1.7162162162162162,3.005630630630631,4.49436936936937,11846.78,7.047297297297297,1.4763513513513513,2.814189189189189,4.820945945945946,2.7894144144144146,2.3704954954954953,4.077702702702703,2.7105855855855854,2.154279279279279,6.376126126126126,5.783783783783784,4.731981981981982,3.875,1.2297297297297298,5.295045045045045
ETH,2.826429980276134,2.5798816568047336,1.806706114398422,3.903353057199211,4.429980276134122,3.8658777120315584,2.2071005917159763,5.828402366863905,3.1972386587771204,9.804733727810651,2.4516765285996054,2.546351084812623,2.0039447731755424,2.282051282051282,2.3471400394477318,4.564102564102564,8.77120315581854,5.668639053254438,2.331360946745562,5.039447731755424,8.039447731755423,7.674556213017752,2.6844181459566077,3.5562130177514795,2.8461538461538463,3.094674556213018,7.396449704142012,1.0611439842209074,6.1439842209072975,4.546351084812623,2.222879684418146,2.6055226824457596,1.0,1.0,3.059171597633136,1.1045364891518739,2.36094674556213,6.285996055226825,2311.7,8.445759368836292,2.3412228796844183,2.4142011834319526,4.83629191321499,2.8461538461538463,2.712031558185404,3.9072978303747536,2.7712031558185406,1.4990138067061145,5.201183431952662,6.609467455621302,1.806706114398422,4.357001972386588,1.136094674556213,4.946745562130178
DEU,2.3841536614645857,3.140456182472989,1.6722689075630253,2.456182472989196,3.320528211284514,3.837935174069628,1.1992797118847538,5.07202881152461,3.1800720288115247,4.692677070828331,1.5402160864345738,2.6134453781512605,2.644657863145258,5.194477791116446,2.302521008403361,2.53781512605042,5.677070828331333,7.824729891956783,1.6326530612244898,4.95078031212485,7.266506602641057,7.225690276110444,2.2004801920768307,1.581032412965186,3.134453781512605,2.9591836734693877,3.3169267707082835,1.1368547418967587,4.882352941176471,3.743097238895558,1.6218487394957983,3.2797118847539015,4.0,6.0,1.8475390156062426,2.7755102040816326,1.7959183673469388,2.6650660264105643,56052.42,8.069627851140456,2.253301320528211,2.2617046818727493,4.067226890756302,2.9255702280912366,3.225690276110444,2.5942376950780313,2.0876350540216086,1.39015606242497,7.259303721488595,4.758703481392557,3.348139255702281,3.751500600240096,1.7767106842737095,6.423769507803121
GRC,1.6725806451612903,2.85,1.6822580645161291,3.1,3.2225806451612904,3.914516129032258,1.585483870967742,5.304838709677419,2.8516129032258064,8.291935483870967,2.303225806451613,1.946774193548387,1.9483870967741936,5.017741935483871,1.7919354838709678,3.6451612903225805,8.480645161290322,6.335483870967742,2.0306451612903227,3.759677419354839,8.016129032258064,6.09516129032258,1.8403225806451613,2.009677419354839,2.556451612903226,2.75,5.791935483870968,1.0548387096774194,5.429032258064516,3.5306451612903227,2.029032258064516,2.4806451612903224,4.0,6.0,2.9080645161290324,1.6951612903225806,1.3629032258064515,4.306451612903226,31399.42,7.827419354838709,1.717741935483871,2.891935483870968,4.643548387096774,2.4516129032258065,3.056451612903226,4.0,2.8419354838709676,1.4241935483870967,5.151612903225806,5.540322580645161,3.8870967741935485,4.296774193548387,1.3419354838709678,4.287096774193548
GTM,1.667621776504298,1.8605539637058262,1.6198662846227316,2.555873925501433,3.845272206303725,3.7125119388729706,2.206303724928367,5.239732569245463,3.407831900668577,8.617000955109837,2.1738299904489016,2.3247373447946513,2.1117478510028653,4.43935052531041,2.0076408787010505,3.299904489016237,9.148997134670488,7.54727793696275,1.9751671442215855,5.766953199617956,6.680038204393505,7.751671442215855,3.1566380133715377,2.427889207258835,2.7182425978987586,2.43170964660936,5.948424068767908,1.1375358166189111,6.5463228271251195,3.536771728748806,1.8815663801337155,2.349570200573066,3.0,5.0,2.4240687679083095,1.7268385864374403,2.9808978032473736,4.85577841451767,8995.54,7.1279847182425975,1.8022922636103151,2.2349570200573066,4.564469914040115,2.592168099331423,2.7889207258834765,3.7354345749761224,2.5329512893982806,1.8042024832855779,6.991404011461318,5.801337153772684,4.718242597898758,4.038204393505253,1.4641833810888252,3.903533906399236
HKG,2.4405594405594404,2.6468531468531467,1.8181818181818181,2.9994172494172493,3.817016317016317,3.6754079254079253,1.8846153846153846,5.7406759906759905,2.8723776223776225,5.062937062937063,2.101981351981352,2.4755244755244754,2.473193473193473,4.825174825174825,2.4947552447552446,3.284965034965035,5.507575757575758,6.558275058275059,2.210955710955711,5.5792540792540795,7.293123543123543,6.616550116550116,2.4224941724941726,2.0839160839160837,2.9201631701631703,2.687645687645688,2.8065268065268065,1.25,5.431818181818182,3.625291375291375,2.2045454545454546,2.7453379953379953,4.0,7.0,2.717948717948718,2.8141025641025643,2.1724941724941726,2.4784382284382285,62375.12,6.881118881118881,2.1363636363636362,2.635780885780886,3.7156177156177157,2.7523310023310024,2.9813519813519815,4.18006993006993,2.56993006993007,1.741841491841492,6.313519813519814,5.712121212121212,4.164918414918415,3.4562937062937062,1.9131701631701632,5.031468531468532
IDN,3.1534772182254196,2.8960831334932053,1.7777777777777777,3.738209432454037,3.211031175059952,3.659072741806555,2.649480415667466,6.0367705835331735,3.3884892086330933,9.76378896882494,3.316546762589928,2.1342925659472423,1.870503597122302,3.95603517186251,2.5255795363709033,3.8141486810551557,8.425659472422062,7.610311750599521,2.8872901678657072,5.124300559552358,8.024780175859313,7.689848121502798,2.8013589128697043,3.2158273381294964,3.392486011191047,2.661870503597122,7.537969624300559,1.0223820943245403,4.630695443645084,3.679056754596323,2.7529976019184654,3.041566746602718,3.0,7.0,3.781374900079936,1.0183852917665868,2.7214228617106313,5.482813749000799,12301.75,8.273381294964029,1.6091127098321343,2.8645083932853717,4.790167865707434,3.2070343725019983,2.5111910471622703,4.067545963229416,2.4840127897681854,1.7266187050359711,6.515987210231814,6.393285371702638,4.387689848121503,3.893285371702638,1.0775379696243006,6.079536370903277
JPN,2.4367816091954024,2.9022988505747125,1.6954022988505748,3.0172413793103448,3.8448275862068964,3.689655172413793,1.1264367816091954,6.402298850574713,3.206896551724138,4.568965517241379,1.8563218390804597,2.0689655172413794,2.189655172413793,4.781609195402299,2.632183908045977,2.3908045977011496,6.833333333333333,7.0,2.17816091954023,4.097701149425287,8.011494252873563,6.459770114942529,2.3160919540229883,1.6724137931034482,2.6551724137931036,2.6264367816091956,3.867816091954023,1.0977011494252873,4.350574712643678,3.6954022988505746,2.0689655172413794,2.867816091954023,4.0,7.0,2.8850574712643677,3.1551724137931036,1.9540229885057472,3.32183908045977,43235.72,7.931034482758621,2.028735632183908,2.557471264367816,4.2011494252873565,2.8505747126436782,2.9770114942528734,3.6724137931034484,2.0689655172413794,1.7528735632183907,6.281609195402299,5.591954022988506,4.045977011494253,3.5919540229885056,1.8045977011494252,5.712643678160919
KEN,2.471134020618557,2.245360824742268,1.7608247422680412,3.731958762886598,4.038144329896907,3.7804123711340205,2.5680412371134023,6.111340206185567,3.3381443298969073,9.14742268041237,2.471134020618557,2.434020618556701,2.165979381443299,3.6876288659793817,2.8402061855670104,3.875257731958763,8.471134020618557,5.8793814432989695,2.404123711340206,4.67319587628866,7.488659793814433,7.08041237113402,2.829896907216495,3.149484536082474,2.915463917525773,2.7195876288659795,7.3278350515463915,1.0288659793814432,5.995876288659794,4.078350515463917,2.1525773195876288,2.5742268041237115,2.0,1.0,2.8329896907216496,1.1701030927835052,2.6061855670103093,5.793814432989691,4509.32,7.130927835051547,1.9268041237113402,2.5278350515463917,4.422680412371134,2.3134020618556703,2.8597938144329897,3.9051546391752576,2.5175257731958762,1.5618556701030928,4.830927835051546,5.497938144329897,3.660824742268041,4.1206185567010305,1.1247422680412371,4.648453608247423
KOR,2.47710843373494,2.5734939759036144,1.8433734939759037,3.455421686746988,3.885140562248996,3.7951807228915664,1.8329317269076306,5.500401606425703,2.9309236947791164,5.036144578313253,1.921285140562249,2.117269076305221,1.97429718875502,5.544578313253012,2.457028112449799,3.378313253012048,6.514056224899599,6.7269076305220885,2.575100401606426,5.269076305220883,7.123694779116466,6.9847389558232935,2.54859437751004,2.0016064257028114,2.7132530120481926,2.9028112449799197,2.855421686746988,1.1140562248995984,5.746184738955823,3.6409638554216865,2.4738955823293174,2.906024096385542,4.0,7.0,3.3710843373493975,2.7020080321285143,2.7582329317269076,2.6433734939759037,43028.9,6.906827309236948,1.9622489959839358,2.3686746987951808,3.9052208835341364,3.048995983935743,2.921285140562249,4.0465863453815265,2.3542168674698796,1.6224899598393574,6.081927710843374,5.265060240963855,4.743775100401606,4.0570281124497996,1.7421686746987952,6.784738955823293
LBY,2.1767337807606264,2.6308724832214767,2.087248322147651,4.214765100671141,4.387024608501118,3.959731543624161,3.0604026845637584,5.429530201342282,3.295302013422819,9.827740492170022,3.8165548098434003,1.8411633109619687,1.9015659955257271,4.6375838926174495,1.7606263982102908,4.214765100671141,8.89261744966443,7.803131991051454,3.2416107382550337,4.977628635346756,8.740492170022371,7.476510067114094,2.6621923937360177,3.8187919463087248,3.498881431767338,3.2170022371364655,7.87248322147651,1.0156599552572707,5.953020134228188,4.58165548098434,2.8814317673378076,2.178970917225951,3.0,4.0,4.10738255033557,1.0134228187919463,2.6599552572706937,4.440715883668904,15803.06,8.686800894854587,1.9798657718120805,2.8411633109619685,4.847874720357942,2.279642058165548,3.2013422818791946,4.577181208053691,2.472035794183445,1.3579418344519016,6.3042505592841165,5.659955257270694,4.02013422818792,4.371364653243848,1.1498881431767338,3.9843400447427295
MAC,2.7744533947065593,2.8642117376294594,1.668584579976985,3.1150747986191023,3.716915995397008,3.7433831990794015,2.009205983889528,6.0782508630609895,3.036823935558113,4.104718066743383,2.042577675489068,2.367088607594937,2.331415420023015,5.0080552359033375,2.5972382048331415,3.189873417721519,6.704257767548907,6.466052934407365,2.294591484464902,5.391254315304948,7.44994246260069,6.459148446490219,2.5339470655926353,1.9459148446490218,3.252013808975834,2.8814729574223246,2.71921749136939,1.1611047180667433,4.8941311852704255,3.5051783659378595,2.2531645569620253,2.9792865362485617,4.0,7.0,2.750287686996548,2.8227848101265822,2.285385500575374,2.1599539700805526,129103.01,7.258918296892981,2.2186421173762945,2.3279631760644417,3.9182968929804374,3.1933256616800922,3.01150747986191,3.7871116225546606,2.5466052934407366,1.4626006904487918,6.200230149597238,5.121979286536249,4.075949367088608,3.6421173762945913,1.9390103567318757,5.560414269275029
MYS,2.4801223241590216,2.684250764525994,1.6238532110091743,3.482415902140673,3.9908256880733943,3.724006116207951,2.4717125382262997,6.239296636085627,3.0275229357798166,8.458715596330276,3.064984709480122,2.4839449541284404,2.1773700305810397,4.791284403669724,2.3425076452599387,3.4403669724770642,8.003058103975535,6.98776758409786,2.6857798165137616,5.259174311926605,7.563455657492355,7.1796636085626915,3.018348623853211,3.202599388379205,2.6123853211009176,2.8103975535168195,6.792813455657492,1.039755351681957,6.007645259938838,4.015290519877676,2.4166666666666665,2.6368501529051986,3.0,7.0,3.30045871559633,1.3814984709480123,2.8631498470948014,4.792813455657492,29525.58,7.5015290519877675,1.879204892966361,2.829510703363914,4.046636085626911,2.521406727828746,3.0122324159021407,4.415137614678899,2.463302752293578,1.7087155963302751,6.243119266055046,5.907492354740061,4.195718654434251,3.8103975535168195,1.5152905198776758,5.379969418960244
MDV,2.0554913294797688,2.7710982658959535,1.6670520231213872,3.5341040462427746,4.15606936416185,3.791907514450867,2.731791907514451,5.582658959537572,3.1502890173410405,9.907514450867051,3.9179190751445088,1.8208092485549132,2.046242774566474,3.3248554913294797,2.0335260115606935,3.300578034682081,9.305202312138729,7.290173410404624,2.5965317919075144,4.3329479768786126,7.8693641618497105,8.121387283236995,2.7283236994219653,3.907514450867052,3.005780346820809,2.899421965317919,7.558381502890174,1.0473988439306359,6.43121387283237,3.786127167630058,2.5005780346820807,2.6763005780346822,3.0,2.0,3.2323699421965317,1.0427745664739885,2.2369942196531793,5.232369942196532,19698.24,8.178034682080925,1.6670520231213872,2.7803468208092488,4.583815028901734,2.5965317919075144,3.0104046242774567,4.492485549132948,3.3202312138728325,1.6034682080924856,7.03121387283237,6.0127167630057805,3.9745664739884394,3.7710982658959535,1.4277456647398843,3.990751445086705
MEX,1.6829787234042553,1.8177304964539007,1.5851063829787233,2.904255319148936,4.0177304964539005,3.6425531914893616,2.229078014184397,4.999290780141844,3.517730496453901,8.60354609929078,2.2581560283687945,2.046808510638298,1.850354609929078,4.254609929078014,2.00709219858156,3.7680851063829786,8.800709219858156,8.133333333333333,2.0531914893617023,5.045390070921986,6.9198581560283685,8.151063829787233,3.0375886524822695,2.3368794326241136,2.5808510638297872,2.5099290780141845,5.931205673758865,1.0361702127659576,6.3382978723404255,3.905673758865248,1.9269503546099291,2.319858156028369,3.0,5.0,2.6893617021276595,1.8609929078014185,2.8595744680851065,4.568085106382979,20410.71,7.51063829787234,1.623404255319149,2.367375886524823,4.619858156028369,2.9921985815602836,2.382978723404255,3.3631205673758866,2.8205673758865246,1.8851063829787233,6.825531914893617,5.659574468085107,4.337588652482269,3.8907801418439716,1.3368794326241136,4.480141843971631
MNG,2.311418685121107,2.5155709342560555,1.8567474048442907,3.490657439446367,3.615916955017301,3.699653979238754,2.071280276816609,5.204844290657439,2.8608996539792386,5.547404844290657,2.109342560553633,2.0782006920415226,1.997923875432526,4.770242214532872,2.3467128027681663,3.3847750865051904,7.597923875432526,6.422145328719723,2.483044982698962,6.31280276816609,6.975086505190311,6.3439446366782,2.8726643598615915,2.1972318339100347,2.786851211072664,2.956401384083045,3.397923875432526,1.289273356401384,5.7107266435986155,3.6006920415224912,2.310726643598616,2.3480968858131486,2.0,7.0,3.239446366782007,2.8069204152249134,2.9370242214532873,2.7529411764705882,12819.95,7.073356401384083,2.114186851211073,2.611764705882353,4.06159169550173,2.704498269896194,2.930795847750865,3.8664359861591695,2.4339100346020763,1.6885813148788926,6.2083044982698965,6.180622837370242,4.88719723183391,3.6089965397923875,1.728719723183391,5.706574394463668
